record_id,record_type,source_type,company,business_line,title_or_signal,city,job_id,salary_text,monthly_min_k,monthly_max_k,salary_months,annual_min_k,annual_max_k,layer,industry,scenario,technical_route,production_metrics,ai_relevance,evidence_grade,evidence_status,url,captured_at
ALI-002,job,official_careers_index,阿里巴巴智能引擎 AI Infra,Post-training,智能引擎-PostTrain框架研发工程师-AI Infra,北京/杭州,7000016304,,,,,,,base_model_compute,基础模型,后训练与对齐,Post-training,,core_ai_investment,B,官方团队招聘索引本轮可读；详情页超时；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=7000016304,2026-08-26
ALI-003,job,official_careers_index,阿里巴巴智能引擎 AI Infra,Agent环境,智能引擎-大模型平台研发工程师-强化学习环境,北京/杭州,100006780014,,,,,,,platform_runtime_governance,基础模型/Agent平台,Agent训练与执行环境,Environment;Sandbox,,core_ai_investment,B,官方团队招聘索引本轮可读；详情页超时；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=100006780014,2026-08-26
ALI-004,job,official_careers_index,阿里巴巴智能引擎 AI Infra,多模态推理,智能引擎-多模态大模型推理系统工程师/专家,北京/杭州,100008580001,,,,,,,base_model_compute,基础模型,多模态模型推理,Multimodal Inference,,core_ai_investment,B,官方团队招聘索引本轮可读；详情页超时；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=100008580001,2026-08-26
ALI-005,job,official_careers_index,阿里巴巴智能引擎 AI Infra,Agent Infra,智能引擎-大模型平台研发工程师-Agent Infra,北京/杭州,100018640014,,,,,,,platform_runtime_governance,云计算/Agent平台,企业Agent基础设施,Agent Infra,,core_ai_investment,B,官方团队招聘索引本轮可读；详情页超时；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=100018640014,2026-08-26
ALI-006,job,official_careers_index,阿里巴巴智能引擎 AI Infra,AI项目管理,智能引擎-项目管理专家-AI项目,杭州,100011360005,,,,,,,business_application,企业管理,AI项目交付与协同,AI Project Management,,ai_adjacent_transformation,B,官方团队招聘索引本轮可读；详情页为 JS 空页；薪资未公开,https://talent-holding.alibaba.com/off-campus/position-detail?positionId=100011360005,2026-08-26
ALI-007,job,official_careers_index,阿里巴巴集团,AI应用算法,AI应用算法工程师,北京/广州/杭州/上海,199903540003,,,,,,,platform_runtime_governance,电商/企业AI,16个业务的AI应用工程化,Prompt;RAG;Fine-tuning;Agent;Context;Memory;Tool Use;MCP;Skills;Multi-Agent;Permission;Security;Human Takeover;LLM-as-Judge;Drift;Quality Gate,线上质量；稳定性；成本；A/B；Bandit；指标漂移,core_ai_investment,C,官方搜索索引可读完整岗位正文；直接页本轮 JS 空白；岗位存续需复核；薪资未公开,https://campus-talent.alibaba.com/campus/position/199903540003,2026-08-26
JD-001,job,official_careers_direct,京东,Agent产品,AI Agent产品经理,北京,212557,,,,,,,business_application,企业软件,自然语言/低代码Agent构建,Low-code;Natural-language Builder,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=212557,2026-08-26
JD-002,job,official_careers_direct,京东国际,Agent平台,国际产研 AI Agent算法/工程专家,北京,219868,,,,,,,platform_runtime_governance,跨境电商/Agent平台,国际业务Agent平台,A2A;A2UI;MCP;Skills;Subagents;Coding;Sandbox;Memory;Context;Harness,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=219868,2026-08-26
JD-003,job,official_careers_direct,京东,基础模型/Infra,大模型算法工程师（AI Infra 高阶）,上海,221161,,,,,,,base_model_compute,基础模型/云计算,模型训练推理基础设施,Base Model;AI Infra,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=221161,2026-08-26
JD-004,job,official_careers_direct,京东国际,全球电商AI,大模型应用算法工程师（大模型/agent）,北京,220278,,,,,,,business_application,跨境电商,商品理解、搜索、推荐、翻译与客服,Product Understanding;Search;Recommendation;Translation;Customer Service,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=220278,2026-08-26
JD-005,job,official_careers_direct,京东科技,金融安全,产品经理,北京,221791,,,,,,,business_application,金融/安全,交易与内容风险,Anti-fraud;AML;Content Safety,,ai_adjacent_transformation,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=221791,2026-08-26
JD-006,job,official_careers_direct,京东物流,供应链AI,AI 架构师,北京,221903,,,,,,,business_application,供应链/物流,供应链Agent与AI Coding,Tool;Memory;Multi-Agent;Permission;Audit;AI Coding,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=221903,2026-08-26
JD-007,job,official_careers_direct,京东国际,Agent Runtime,大模型应用算法/开发专家（agent方向）,北京,219681,,,,,,,platform_runtime_governance,跨境电商/Agent平台,企业Agent运行时,Gateway;Runtime;Context;Plugin;Streaming;Cache;Circuit Breaker;Evaluation;Replay,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=219681,2026-08-26
JD-008,job,official_careers_index,京东零售,AI产品运营,AI产品运营,北京,217376,,,,,,,business_application,零售/电商,搜索、导购与转化,AI Product Operations;Search;Shopping Guide,,core_ai_investment,C,官方搜索索引可读岗位全文，但详情URL本轮重定向到招聘首页；岗位存续需复核；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=217376,2026-08-26
JD-009,job,official_careers_direct,京东科技,智能服务,AI解决方案销售经理（零售/金融方向）,北京,219504,,,,,,,business_application,客户服务,智能服务,Conversational AI;Service Automation,官方岗位说明称自研JoyAI服务近6亿用户、75万商家并提供7×24小时服务,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=219504,2026-08-26
JD-010,job,official_careers_direct,京东,基础模型,大模型算法专家,北京,212577,,,,,,,base_model_compute,基础模型,基础模型训练,Base Model,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=212577,2026-08-26
JD-011,job,official_careers_direct,京东科技,AI安全,AI 安全技术专家 / 大模型安全工程师,北京,220570,,,,,,,platform_runtime_governance,安全/治理,模型与Agent安全评测,LLM-as-Judge;RAG;Agent;Guardrail;Benchmark;Badcase;Regression;A/B;Shadow,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=220570,2026-08-26
JD-012,job,official_careers_direct,京东,客户服务,AI产品经理,北京,217808,,,,,,,business_application,客户服务/电商,智能客服,Customer Service AI,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=217808,2026-08-26
JD-013,job,official_careers_direct,京东云,AI Infra,AI Infra优化工程师,上海,217540,,,,,,,base_model_compute,云计算/基础模型,AI基础设施,AI Infra,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=217540,2026-08-26
JD-014,job,official_careers_direct,京东,AI应用平台,软件开发岗（AI应用方向）,北京,220736,,,,,,,platform_runtime_governance,企业AI/电商,生产级AI应用平台,Planning;Tools;Routing;Context;Permission;Fallback;RAG;Offline Evaluation;Replay;Human Feedback;Trace;Latency,,core_ai_investment,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=220736,2026-08-26
JD-015,job,official_careers_direct,京东,广告AI,软件开发工程师,海南,221280,,,,,,,business_application,广告/电商,广告创意生成、投放策略与诊断,Creative Generation;Strategy;Diagnosis,,ai_adjacent_transformation,A,官方岗位详情本轮可读；薪资未公开,https://zhaopin.jd.com/web/job-info-detail?requementId=221280,2026-08-26
XIAOMI-S01,strategy_topic,official_program,小米,训练/推理,大模型训练和推理框架,,,,,,,,,base_model_compute,消费电子/基础模型,模型系统,Training;Inference,,core_ai_investment,A,官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位,https://hr.xiaomi.com/website/top-talent.html,2026-08-26
XIAOMI-S02,strategy_topic,official_program,小米,认知/记忆/评测,认知-记忆-问答链路及自动评估体系研究,,,,,,,,,platform_runtime_governance,消费电子/Agent平台,系统智能与评测,Cognition;Memory;QA;Auto-evaluation,,core_ai_investment,A,官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位,https://hr.xiaomi.com/website/top-talent.html,2026-08-26
XIAOMI-S03,strategy_topic,official_program,小米,OS Agent,AI Agent 与操作系统深度集成,,,,,,,,,business_application,消费电子/OS,系统级Agent,OS Integration;Agent,,core_ai_investment,A,官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位,https://hr.xiaomi.com/website/top-talent.html,2026-08-26
XIAOMI-S04,strategy_topic,official_program,小米,IoT/边缘AI,百亿级 IoT 设备协议统一与边缘 AI 调度,,,,,,,,,platform_runtime_governance,IoT/消费电子,跨设备边缘智能,IoT Protocol;Edge AI Scheduling,,core_ai_investment,A,官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位,https://hr.xiaomi.com/website/top-talent.html,2026-08-26
MEITUAN-S01,strategy_topic,official_program,美团 LongCat,基础模型/Agentic RL,美团 LongCat 大模型人才招聘,,,,,,,,,base_model_compute,本地生活/基础模型,代码、办公、搜索与生产力Agent训练,Foundation Model;Environment Scaling;Large-scale RL;Agentic Model Training;Multimodal;Embodied AI;Evaluation,,core_ai_investment,C,官方项目搜索索引本轮可读；原页直接打开超时；人才计划信号，非独立岗位,https://zhaopin.meituan.com/longcatprogram,2026-08-26
MEITUAN-S02,strategy_topic,official_product_signal,美团 CatPaw,企业Agent平台,美团正式发布 CatPaw：全场景 AI Agent，从个人提效到企业智能化,,,,,,,,,platform_runtime_governance,本地生活/企业自动化,商家运营、服务履约与消费者决策,Enterprise Agent Workbench;Agent Platform,累计覆盖9万员工；搭建Agent 3万个；多个真实业务场景完成验证；沙箱百毫秒级冷启动,core_ai_investment,A,官方技术文章原页本轮可读；产品/组织信号，非独立岗位,https://tech.meituan.com/2026/07/28/CatPaw-LongCat.html,2026-08-26
MEITUAN-S03,strategy_topic,official_program,美团 北斗,本地生活AI,北斗计划,,,,,,,,,business_application,本地生活/物流,客服、销售、搜索、广告、推荐、自动配送与无人机,RAG;Agent;Search;Ads;Recommendation;Autonomous Delivery;Drones,,core_ai_investment,C,官方项目搜索索引本轮可读；原页直接打开超时；当前北斗职位列表显示0条；历史人才计划信号，非实时岗位,https://zhaopin.meituan.com/web/beidouprogram?staffSsoId=2910215,2026-08-26
